Scenario 	nSteps
SC01		1
SC02		1
SC03		2
SC04		3
SC05		3
SC06		4
SC07		4
SC08		3
SC09		4
SC10		2
SC11		3
SC12		4
SC13		4
SC14		2
SC15		4
SC16		2
SC17		2
SC18		1
SC19		1
SC20		2
SC21		3
SC22		3
SC23		1
